cultivo,region,provincia,departamento,campania,latitud,longitud,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kg_ha,temp_media_c,temp_max_promedio_c,temp_min_promedio_c,precipitacion_total_mm,humedad_relativa_promedio,radiacion_solar_total,dias_helada,dias_clima_disponibles,dias_clima_esperados,arcilla_pct,arena_pct,limo_pct,materia_organica_pct,ph,cec,suelo_anillo_fallback,suelo_capas_disponibles,suelo_calidad
maiz,pampeana,Córdoba,Marcos Juárez,2011/2012,-32.7,-62.1,132100,116900,829990,7100,22.942622950819672,28.25355191256831,17.742076502732242,723.7,61.50273224043716,4425.67,0,183,183,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2012/2013,-32.7,-62.1,120600,107500,1032000,9600,21.94010989010989,26.93406593406593,17.041208791208792,709.2,65.21978021978022,4223.360000000001,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2013/2014,-32.7,-62.1,102500,96700,918650,9500,22.464835164835165,27.541758241758245,17.575274725274724,848.4,65.64285714285714,4212.549999999999,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2014/2015,-32.7,-62.1,87500,76500,719100,9400,22.76923076923077,27.96483516483517,17.729120879120877,667.8,65.05494505494505,4149.99,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2015/2016,-32.7,-62.1,108240,87040,774656,8900,22.058469945355192,26.88579234972677,17.40601092896175,680.9000000000001,67.30054644808743,4101.9,0,183,183,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2016/2017,-32.7,-62.1,183940,164940,1599918,9700,22.25989010989011,27.37252747252748,17.349999999999998,663.8000000000001,66.82417582417582,4248.59,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2017/2018,-32.7,-62.1,183302,172712,1537137,8900,22.22912087912088,28.088461538461534,16.745604395604396,284.7,58.91208791208791,4418.610000000001,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2018/2019,-32.7,-62.1,180000,171329,1764689,10300,21.53736263736264,26.60989010989011,16.603846153846156,756.3,69.07692307692308,4014.86,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2019/2020,-32.7,-62.1,195430,181030,1755991,9700,22.85792349726776,28.19726775956284,17.618032786885244,557.0000000000001,64.43169398907104,4215.46,0,183,183,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
maiz,pampeana,Córdoba,Marcos Juárez,2020/2021,-32.7,-62.1,214358,192258,1884132,9800,22.09835164835165,27.63736263736264,16.704945054945057,553.7,61.917582417582416,4251.75,0,182,182,31.23333333333333,9.333333333333334,59.43333333333334,2.666453333333333,6.8500000000000005,21.71666666666667,1,3,fallback_1km
